"ZUPANIJA_MBR";"GROP_MBR";"GROP_NAZIV";"GROP_VRSTA";"NASELJE_MBR";"NASELJE_NAZIV";"ULICA_MBR";"ULICA_NAZIV"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080008";"RUDINA DOLEČAK"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080026";"RUDINA DUDINJAK"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080012";"RUDINA KLAINAC"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080027";"RUDINA KOD BAGREMIKA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080015";"RUDINA KOD VILME"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080023";"RUDINA LIPIN DOL"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080030";"RUDINA MARINOVCI"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080011";"RUDINA PERINAC"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080019";"RUDINA PROVALIJA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080013";"RUDINA SAD"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080022";"RUDINA SELIŠĆE"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080009";"RUDINA STEPANIĆEVAC"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080039";"SLAVKA FRANGEŠA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080004";"TRG BRAĆE RADIĆA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080005";"UŠĆE"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080036";"VRŠKA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080007";"ZLATNA"
"14";"1104";"ERDUT";"2";"108";"ALJMAŠ";"1080031";"ŽELJKA SVALINE"
"11";"353";"BRESTOVAC";"2";"116";"AMATOVCI";"1160001";"AMATOVCI"
"7";"639";"ČAZMA";"1";"124";"ANDIGOLA";"1240001";"ANDIGOLA"
